OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts
OG0003739	549.0	0.5	4	4	0.63	0.66	3.01	3.04	23	22	14.5	14.5
OG0003740	384.0	0.25	4	4	0.36	0.37	4.27	4.26	78	77	28.25	28.25
OG0003741	498.0	0.25	4	4	0.68	0.68	2.96	2.96	21	21	14.25	14.25
OG0003742	354.0	0.25	4	4	0.39	0.68	3.81	3.26	51	29	19.75	19.75
OG0003743	171.0	0.0	4	4	0.31	0.31	4.64	4.64	112	112	34.5	34.5
OG0003744	1239.0	0.0	4	4	0.55	0.55	3.24	3.24	27	27	14.75	14.75
OG0003745	1350.0	0.0	4	4	0.74	0.74	3.22	3.22	27	27	20	20
OG0003746	115.5	1.0	1	4	0.27	NA	3.36	NA	31	0	8.5	8.5
OG0003747	105.0	0.5	2	4	0.25	0.45	4.33	3.74	76	42	19	19
OG0003748	220.5	1.0	2	4	0.4	NA	2.9	NA	20	0	8	8
OG0003749	192.0	0.0	4	4	0.31	0.31	3.91	3.91	55	55	17	17
OG0003750	192.0	0.0	2	4	0.95	0.95	3.03	3.03	21	21	20	20
OG0003751	1536.0	0.0	1	4	0.28	0.28	4.25	4.25	74	74	20.75	20.75
OG0003752	801.0	0.0	3	3	0.39	0.39	3.83	3.83	48	48	18.67	18.67
OG0003753	102.0	0.0	3	3	0.61	0.61	3.06	3.06	24	24	14.67	14.67
OG0003754	750.0	0.0	3	3	0.58	0.58	3.47	3.47	36	36	21	21
OG0003755	300.0	0.0	3	3	0.68	0.68	3.16	3.16	26	26	17.67	17.67
OG0003756	627.0	0.0	3	3	0.51	0.51	3.61	3.61	41	41	21	21
OG0003757	579.0	0.0	3	3	0.52	0.52	3.61	3.61	41	41	21.33	21.33
OG0003758	249.0	0.0	2	3	0.48	0.48	4.36	4.36	87	87	41.67	41.67
OG0003759	219.0	0.0	3	3	0.5	0.5	4.33	4.33	82	82	40.67	40.67
OG0003760	852.0	0.0	3	3	0.5	0.5	3.73	3.73	47	47	23.67	23.67
OG0003761	285.0	0.33	3	3	0.42	0.44	4.19	4.15	70	66	29.33	29.33
OG0003762	309.0	0.0	3	3	1.0	1.0	2.83	2.83	17	17	17	17
OG0003763	225.0	0.67	2	3	0.38	0.75	3.43	2.77	32	16	12	12
OG0003764	246.0	0.0	3	3	0.84	0.84	3.15	3.15	25	25	21	21
OG0003765	201.0	0.33	3	3	0.85	0.89	2.95	2.93	20	19	17	17
OG0003766	522.0	0.0	3	3	0.94	0.94	2.75	2.75	16	16	15	15
OG0003767	1086.0	0.33	3	3	0.83	0.83	3.0	3.03	21	21	17.33	17.33
OG0003768	135.0	0.0	3	3	1.0	1.0	2.94	2.94	19	19	19	19
OG0003769	231.0	0.0	3	3	0.95	0.95	3.07	3.07	22	22	21	21
OG0003770	237.0	0.0	3	3	0.95	0.95	3.07	3.07	22	22	21	21
OG0003771	366.0	0.0	3	3	0.96	0.96	3.16	3.16	24	24	23	23
OG0003772	588.0	0.0	3	3	0.91	0.91	3.06	3.06	22	22	20	20
OG0003773	564.0	0.0	3	3	0.9	0.9	3.01	3.01	21	21	19	19
OG0003774	339.0	0.0	3	3	0.76	0.76	3.15	3.15	25	25	19	19
OG0003775	630.0	0.0	3	3	0.71	0.71	2.76	2.76	17	17	12	12
OG0003776	822.0	0.0	3	3	0.7	0.7	2.97	2.97	22	22	15.33	15.33
OG0003777	849.0	0.0	3	3	0.71	0.71	2.93	2.93	21	21	15	15
OG0003778	870.0	0.0	3	3	0.85	0.85	2.83	2.83	18	18	15.33	15.33
OG0003779	1185.0	0.0	3	3	0.35	0.35	3.68	3.68	41	41	14.33	14.33
OG0003780	1122.0	0.0	3	3	0.36	0.36	3.71	3.71	43	43	15.67	15.67
OG0003781	936.0	0.0	3	3	0.61	0.61	3.35	3.35	32	32	19.67	19.67
OG0003782	768.0	0.0	3	3	0.67	0.67	3.29	3.29	30	30	20	20
OG0003783	93.0	0.0	3	3	0.69	0.69	3.08	3.08	24	24	16.67	16.67
OG0003784	1170.0	0.0	3	3	0.68	0.68	3.23	3.23	28	28	19	19
OG0003785	1365.0	0.0	3	3	0.63	0.63	3.32	3.32	31	31	19.67	19.67
OG0003786	312.0	0.0	3	3	0.83	0.83	2.98	2.98	21	21	17.33	17.33
OG0003787	339.0	0.0	3	3	0.83	0.83	2.98	2.98	21	21	17.33	17.33
OG0003788	360.0	0.33	3	3	0.63	0.74	2.95	2.85	21	18	13.33	13.33
OG0003789	1599.0	0.33	3	3	0.75	0.75	2.94	3.0	21	21	15.67	15.67
OG0003790	117.0	0.0	3	3	0.93	0.93	3.19	3.19	25	25	23.33	23.33
OG0003791	189.0	0.0	3	3	0.34	0.34	4.07	4.07	59	59	20	20
OG0003792	1827.0	0.0	3	3	0.33	0.33	3.93	3.93	51	51	17	17
OG0003793	1155.0	0.0	3	3	0.55	0.55	3.58	3.58	38	38	21	21
OG0003794	1011.0	0.0	3	3	0.54	0.54	3.52	3.52	36	36	19.33	19.33
OG0003795	195.0	0.0	3	3	0.39	0.39	4.41	4.41	87	87	34.33	34.33
OG0003796	246.0	0.0	2	3	0.62	0.62	4.07	4.07	64	64	40	40
OG0003797	126.0	0.0	3	3	0.54	0.54	3.47	3.47	35	35	19	19
OG0003798	120.0	0.0	3	3	0.43	0.43	3.78	3.78	47	47	20.33	20.33
OG0003799	1626.0	0.0	3	3	0.36	0.36	3.86	3.86	49	49	17.67	17.67
OG0003800	156.0	0.0	3	3	0.5	0.5	4.39	4.39	88	88	43.67	43.67
OG0003801	258.0	0.0	3	3	0.51	0.51	3.52	3.52	36	36	18.33	18.33
OG0003802	192.0	0.0	3	3	0.77	0.77	3.01	3.01	22	22	17	17
OG0003803	192.0	0.33	3	3	0.44	0.92	3.44	2.73	33	16	14.67	14.67
OG0003804	648.0	1.0	3	3	0.5	NA	2.21	NA	10	0	5	5
OG0003805	201.0	0.33	2	3	0.52	0.53	3.96	3.99	58	57	30	30
OG0003806	1296.0	0.0	3	3	0.52	0.52	3.36	3.36	33	33	17	17
OG0003807	735.0	0.33	3	3	0.35	0.4	3.77	3.64	44	38	15.33	15.33
OG0003808	987.0	0.0	3	3	0.35	0.35	3.88	3.88	49	49	17	17
OG0003809	414.0	0.33	3	3	0.69	0.73	2.84	2.78	18	17	12.33	12.33
OG0003810	384.0	0.0	3	3	0.4	0.4	4.01	4.01	58	58	23.33	23.33
OG0003811	396.0	0.0	3	3	0.6	0.6	3.6	3.6	41	41	24.67	24.67
OG0003812	534.0	0.0	3	3	0.65	0.65	3.39	3.39	33	33	21.33	21.33
OG0003813	540.0	0.0	3	3	0.5	0.5	3.46	3.46	34	34	17	17
OG0003814	1263.0	0.0	3	3	0.64	0.64	3.24	3.24	29	29	18.67	18.67
OG0003815	516.0	0.33	3	3	0.42	0.55	3.6	3.38	40	31	17	17
OG0003816	180.0	0.0	3	3	0.39	0.39	4.14	4.14	67	67	26.33	26.33
OG0003817	231.0	0.0	3	3	0.49	0.49	3.36	3.36	33	33	16.33	16.33
OG0003818	423.0	0.0	3	3	0.49	0.49	3.4	3.4	34	34	16.67	16.67
OG0003819	2178.0	0.0	3	3	0.53	0.53	3.57	3.57	40	40	21	21
OG0003820	315.0	0.0	3	3	0.43	0.43	3.7	3.7	45	45	19.33	19.33
OG0003821	438.0	0.0	3	3	0.39	0.39	4.57	4.57	101	101	39.67	39.67
OG0003822	153.0	0.0	3	3	0.33	0.33	4.01	4.01	55	55	18.33	18.33
OG0003823	507.0	0.0	3	3	0.33	0.33	4.08	4.08	59	59	19.67	19.67
OG0003824	354.0	0.33	3	3	0.35	0.41	3.99	3.82	55	46	19	19
OG0003825	357.0	0.0	3	3	0.52	0.52	3.82	3.82	49	49	25.67	25.67
OG0003826	228.0	0.0	3	3	0.96	0.96	3.73	3.73	42	42	40.33	40.33
OG0003827	252.0	0.0	3	3	0.98	0.98	3.71	3.71	41	41	40.33	40.33
OG0003828	189.0	0.67	3	3	0.56	0.86	3.16	2.83	26	17	14.67	14.67
OG0003829	1617.0	0.67	3	3	0.59	0.85	3.17	2.89	26	18	15.33	15.33
OG0003830	486.0	0.33	3	3	0.48	0.5	3.85	3.87	51	49	24.33	24.33
OG0003831	2013.0	0.67	3	3	0.49	0.84	3.75	3.3	46	27	22.67	22.67
OG0003832	189.0	0.67	3	3	0.43	0.82	3.58	3.0	38	20	16.33	16.33
OG0003833	234.0	0.67	3	3	0.49	0.74	3.39	3.09	33	22	16.33	16.33
OG0003834	273.0	0.67	3	3	0.49	0.74	3.39	3.09	33	22	16.33	16.33
OG0003835	675.0	0.33	3	3	0.33	0.42	3.89	3.66	49	39	16.33	16.33
OG0003836	273.0	0.0	3	3	0.47	0.47	3.8	3.8	48	48	22.33	22.33
OG0003837	531.0	0.0	3	3	0.5	0.5	4.13	4.13	68	68	34	34
OG0003838	378.0	0.0	3	3	0.44	0.44	4.42	4.42	90	90	39.67	39.67
OG0003839	156.0	0.0	3	3	0.37	0.37	3.98	3.98	57	57	21.33	21.33
OG0003840	1221.0	0.0	3	3	0.37	0.37	4.04	4.04	60	60	22.33	22.33
OG0003841	450.0	0.0	3	3	0.37	0.37	4.05	4.05	61	61	22.67	22.67
OG0003842	174.0	0.0	3	3	0.76	0.76	3.17	3.17	26	26	19.67	19.67
OG0003843	639.0	0.0	3	3	0.35	0.35	3.82	3.82	47	47	16.33	16.33
OG0003844	195.0	0.0	3	3	0.35	0.35	4.62	4.62	104	104	36.33	36.33
OG0003845	285.0	0.0	3	3	0.5	0.5	4.38	4.38	89	89	44.67	44.67
OG0003846	180.0	0.0	3	3	0.54	0.54	4.24	4.24	78	78	42.33	42.33
OG0003847	1017.0	0.0	3	3	0.53	0.53	3.79	3.79	49	49	26	26
OG0003848	231.0	0.0	3	3	0.47	0.47	3.74	3.74	48	48	22.33	22.33
OG0003849	867.0	0.0	3	3	0.45	0.45	3.77	3.77	47	47	21.33	21.33
OG0003850	1719.0	0.33	3	3	0.45	0.57	3.8	3.62	48	38	21.67	21.67
OG0003851	168.0	0.33	3	3	0.49	0.62	3.76	3.56	47	37	23	23
OG0003852	231.0	0.33	3	3	0.49	0.63	3.72	3.5	45	35	22	22
OG0003853	93.0	0.33	2	3	0.49	0.68	3.68	3.37	43	31	21	21
OG0003854	486.0	0.0	3	3	0.49	0.49	3.71	3.71	45	45	22	22
OG0003855	168.0	0.0	3	3	0.4	0.4	3.78	3.78	47	47	18.67	18.67
OG0003856	279.0	0.33	3	3	0.4	0.61	3.41	3.04	33	22	13.33	13.33
OG0003857	600.0	0.0	3	3	0.41	0.41	3.83	3.83	49	49	20.33	20.33
OG0003858	690.0	0.0	3	3	0.47	0.47	3.45	3.45	34	34	16	16
OG0003859	426.0	0.0	3	3	0.37	0.37	3.91	3.91	53	53	19.67	19.67
OG0003860	750.0	0.0	3	3	0.41	0.41	3.85	3.85	52	52	21.33	21.33
OG0003861	108.0	0.0	3	3	0.41	0.41	3.83	3.83	51	51	21	21
OG0003862	441.0	0.0	3	3	0.41	0.41	3.83	3.83	51	51	21	21
OG0003863	705.0	0.0	3	3	0.39	0.39	3.89	3.89	51	51	19.67	19.67
OG0003864	201.0	0.0	2	3	0.81	0.81	3.47	3.47	33	33	26.67	26.67
OG0003865	285.0	0.33	3	3	0.4	0.49	4.0	3.85	58	48	23.33	23.33
OG0003866	189.0	0.0	3	3	0.52	0.52	3.62	3.62	42	42	22	22
OG0003867	132.0	0.0	3	3	0.39	0.39	4.09	4.09	63	63	24.33	24.33
OG0003868	165.0	0.67	3	3	0.33	0.64	3.83	3.18	46	24	15.33	15.33
OG0003869	249.0	0.0	3	3	0.34	0.34	4.02	4.02	56	56	19	19
OG0003870	510.0	1.0	2	3	0.53	NA	3.5	NA	35	0	18.67	18.67
OG0003871	177.0	0.0	2	3	0.45	0.45	4.39	4.39	89	89	39.67	39.67
OG0003872	222.0	0.0	2	3	0.5	0.5	4.34	4.34	84	84	42.33	42.33
OG0003873	711.0	0.33	3	3	0.45	0.53	3.63	3.53	40	34	18	18
OG0003874	1917.0	0.33	3	3	0.36	0.45	3.7	3.5	42	34	15.33	15.33
OG0003875	1704.0	0.33	3	3	0.36	0.46	3.65	3.41	40	31	14.33	14.33
OG0003876	657.0	0.0	3	3	0.36	0.36	4.11	4.11	63	63	22.67	22.67
OG0003877	642.0	0.0	3	3	0.34	0.34	4.05	4.05	58	58	20	20
OG0003878	933.0	0.33	3	3	0.36	0.46	3.69	3.44	41	32	14.67	14.67
OG0003879	2646.0	0.33	2	3	0.35	0.45	3.77	3.52	44	34	15.33	15.33
OG0003880	687.0	0.0	3	3	0.48	0.48	3.72	3.72	44	44	21.33	21.33
OG0003881	2118.0	0.0	3	3	0.46	0.46	3.68	3.68	42	42	19.33	19.33
OG0003882	540.0	0.0	2	3	0.37	0.37	3.59	3.59	38	38	14	14
OG0003883	975.0	0.33	3	3	0.4	0.51	3.86	3.65	50	39	20	20
OG0003884	291.0	0.0	3	3	0.45	0.45	4.35	4.35	86	86	39	39
OG0003885	483.0	0.0	3	3	0.49	0.49	4.31	4.31	83	83	41	41
OG0003886	294.0	0.0	2	3	0.46	0.46	4.38	4.38	87	87	40.33	40.33
OG0003887	1359.0	0.33	3	3	0.46	0.46	3.6	3.66	39	39	18	18
OG0003888	201.0	0.0	3	3	0.5	0.5	3.53	3.53	36	36	18	18
OG0003889	183.0	0.0	3	3	0.78	0.78	3.09	3.09	24	24	18.67	18.67
OG0003890	615.0	0.0	3	3	0.49	0.49	3.57	3.57	39	39	19	19
OG0003891	585.0	0.33	3	3	0.35	0.47	3.99	3.69	55	40	19	19
OG0003892	384.0	0.33	3	3	0.33	0.43	4.09	3.83	60	46	20	20
OG0003893	585.0	0.0	3	3	0.55	0.55	3.88	3.88	53	53	29	29
OG0003894	357.0	0.33	3	3	0.35	0.44	4.0	3.8	56	45	19.67	19.67
OG0003895	450.0	0.0	3	3	0.5	0.5	4.22	4.22	76	76	38.33	38.33
OG0003896	639.0	0.0	3	3	0.38	0.38	4.16	4.16	67	67	25.67	25.67
OG0003897	642.0	0.0	3	3	0.37	0.37	4.01	4.01	57	57	21.33	21.33
OG0003898	417.0	0.0	3	3	0.48	0.48	4.37	4.37	88	88	42.67	42.67
OG0003899	324.0	0.0	3	3	0.49	0.49	4.35	4.35	87	87	42.33	42.33
OG0003900	192.0	0.0	3	3	0.43	0.43	4.07	4.07	63	63	27.33	27.33
OG0003901	972.0	0.0	3	3	0.4	0.4	3.86	3.86	50	50	20	20
OG0003902	396.0	0.0	3	3	0.39	0.39	3.94	3.94	54	54	21.33	21.33
OG0003903	684.0	0.0	3	3	0.34	0.34	3.75	3.75	43	43	14.67	14.67
OG0003904	360.0	0.33	3	3	0.36	0.38	3.66	3.61	40	38	14.33	14.33
OG0003905	558.0	0.0	3	3	0.51	0.51	3.29	3.29	29	29	14.67	14.67
OG0003906	765.0	0.0	3	3	0.46	0.46	3.59	3.59	39	39	18	18
OG0003907	318.0	0.33	3	3	0.46	0.49	3.41	3.34	32	30	14.67	14.67
OG0003908	288.0	0.0	2	3	0.41	0.41	4.24	4.24	73	73	29.67	29.67
OG0003909	285.0	0.0	3	3	0.49	0.49	4.02	4.02	61	61	30	30
OG0003910	261.0	0.0	3	3	0.49	0.49	3.98	3.98	59	59	29	29
OG0003911	1191.0	0.0	3	3	0.33	0.33	4.04	4.04	57	57	19	19
OG0003912	273.0	0.0	3	3	0.49	0.49	3.81	3.81	50	50	24.33	24.33
OG0003913	225.0	0.0	3	3	0.46	0.46	4.3	4.3	81	81	37.33	37.33
OG0003914	772.5	0.0	3	2	0.53	0.53	3.62	3.62	38	38	20	20
OG0003915	255.0	0.67	3	3	0.47	0.92	3.65	3.04	41	21	19.33	19.33
OG0003916	123.0	1.0	3	3	0.38	NA	3.92	NA	53	0	20	20
OG0003917	165.0	0.67	3	3	0.38	0.42	3.37	3.33	31	28	11.67	11.67
OG0003918	390.0	0.67	3	3	0.39	0.64	3.58	3.14	38	23	14.67	14.67
OG0003919	681.0	0.33	3	3	0.65	0.69	2.94	2.89	19	18	12.33	12.33
OG0003920	246.0	0.67	2	3	0.36	0.51	3.84	3.53	48	34	17.33	17.33
OG0003921	561.0	0.33	3	3	0.42	0.51	3.81	3.66	48	40	20.33	20.33
OG0003922	198.0	0.67	2	3	0.4	0.53	3.64	3.4	40	30	16	16
OG0003923	351.0	0.33	2	3	0.58	0.66	3.8	3.69	48	42	27.67	27.67
OG0003924	984.0	0.0	3	3	0.95	0.95	2.93	2.93	19	19	18	18
OG0003925	273.0	0.33	3	3	0.43	0.43	3.74	3.78	45	45	19.33	19.33
OG0003926	234.0	0.33	3	3	0.59	0.77	3.64	3.39	41	31	24	24
OG0003927	540.0	0.67	3	3	0.36	0.79	3.84	3.09	48	22	17.33	17.33
OG0003928	147.0	0.0	3	3	0.51	0.51	4.02	4.02	61	61	31.33	31.33
OG0003929	183.0	0.0	3	3	0.58	0.58	4.09	4.09	66	66	38.33	38.33
OG0003930	192.0	0.0	3	3	0.61	0.61	3.54	3.54	39	39	23.67	23.67
OG0003931	1104.0	0.0	3	3	0.47	0.47	3.49	3.49	35	35	16.33	16.33
OG0003932	645.0	0.0	3	3	0.45	0.45	3.49	3.49	35	35	15.67	15.67
OG0003933	315.0	0.33	2	3	0.47	0.58	3.71	3.53	45	36	21	21
OG0003934	585.0	0.67	3	3	0.44	1.0	3.47	2.71	34	15	15	15
OG0003935	1272.0	0.0	3	3	0.43	0.43	3.74	3.74	45	45	19.33	19.33
OG0003936	156.0	0.0	3	3	0.6	0.6	3.34	3.34	32	32	19.33	19.33
OG0003937	1053.0	0.0	3	3	0.45	0.45	3.65	3.65	41	41	18.33	18.33
OG0003938	198.0	0.0	3	3	0.72	0.72	3.05	3.05	23	23	16.67	16.67
OG0003939	591.0	0.0	3	3	0.35	0.35	4.0	4.0	56	56	19.67	19.67
OG0003940	705.0	0.33	3	3	0.38	0.5	3.78	3.56	47	36	18	18
OG0003941	237.0	0.0	3	3	0.53	0.53	3.51	3.51	36	36	19	19
OG0003942	750.0	0.0	3	3	0.67	0.67	3.1	3.1	25	25	16.67	16.67
OG0003943	1044.0	0.0	3	3	0.69	0.69	3.11	3.11	25	25	17.33	17.33
OG0003944	282.0	0.0	3	3	0.33	0.33	4.33	4.33	76	76	25.33	25.33
OG0003945	351.0	0.0	3	3	0.35	0.35	4.19	4.19	67	67	23.33	23.33
OG0003946	267.0	0.0	3	3	0.45	0.45	3.85	3.85	50	50	22.33	22.33
OG0003947	513.0	0.33	3	3	0.44	0.48	3.54	3.47	37	34	16.33	16.33
OG0003948	561.0	0.0	3	3	0.57	0.57	3.46	3.46	34	34	19.33	19.33
OG0003949	960.0	0.0	3	3	0.45	0.45	3.72	3.72	47	47	21	21
OG0003950	1098.0	0.0	3	3	0.44	0.44	3.77	3.77	49	49	21.67	21.67
OG0003951	1275.0	0.0	3	3	0.44	0.44	3.81	3.81	51	51	22.33	22.33
OG0003952	240.0	0.0	2	3	0.52	0.52	4.3	4.3	82	82	42.67	42.67
OG0003953	696.0	0.67	3	3	0.71	0.71	2.65	2.77	16	16	11.33	11.33
OG0003954	741.0	0.0	3	3	0.35	0.35	4.1	4.1	62	62	22	22
OG0003955	765.0	0.0	3	3	0.47	0.47	3.75	3.75	45	45	21.33	21.33
OG0003956	168.0	0.0	3	3	0.91	0.91	3.27	3.27	27	27	24.67	24.67
OG0003957	168.0	0.67	2	3	0.5	1.09	3.85	3.14	50	23	25	25
OG0003958	186.0	0.67	3	3	0.44	0.74	3.37	2.94	32	19	14	14
OG0003959	1026.0	0.33	3	3	0.42	0.43	3.8	3.82	47	46	19.67	19.67
OG0003960	1161.0	0.0	3	3	0.45	0.45	3.99	3.99	59	59	26.67	26.67
OG0003961	267.0	0.33	3	3	0.45	0.61	3.85	3.58	52	38	23.33	23.33
OG0003962	246.0	0.0	3	3	0.5	0.5	4.29	4.29	81	81	40.67	40.67
OG0003963	177.0	0.0	3	3	0.36	0.36	4.02	4.02	57	57	20.67	20.67
OG0003964	165.0	0.0	3	3	0.42	0.42	4.15	4.15	67	67	28	28
OG0003965	243.0	0.0	3	3	0.41	0.41	4.0	4.0	59	59	24.33	24.33
OG0003966	501.0	0.0	3	3	0.52	0.52	4.1	4.1	66	66	34.33	34.33
OG0003967	459.0	0.0	3	3	0.39	0.39	4.41	4.41	86	86	33.67	33.67
OG0003968	216.0	0.67	3	3	0.69	0.86	3.2	3.04	26	21	18	18
OG0003969	1275.0	0.0	2	3	0.45	0.45	3.72	3.72	44	44	19.67	19.67
OG0003970	606.0	0.33	3	3	0.35	0.52	4.15	3.78	65	44	23	23
OG0003971	861.0	0.33	3	3	0.57	0.77	3.36	3.08	30	22	17	17
OG0003972	879.0	0.0	2	3	0.43	0.43	3.74	3.74	46	46	20	20
OG0003973	1644.0	0.0	2	3	0.43	0.43	3.81	3.81	49	49	21	21
OG0003974	159.0	1.0	1	3	0.45	NA	1.67	NA	6	0	2.67	2.67
OG0003975	147.0	0.67	3	3	0.52	0.6	3.73	3.64	44	38	22.67	22.67
OG0003976	129.0	0.33	3	3	0.4	0.42	3.8	3.78	47	44	18.67	18.67
OG0003977	174.0	0.0	3	3	0.45	0.45	3.92	3.92	57	57	25.67	25.67
OG0003978	228.0	0.0	3	3	0.76	0.76	3.56	3.56	38	38	29	29
OG0003979	810.0	0.0	3	3	0.52	0.52	3.48	3.48	36	36	18.67	18.67
OG0003980	774.0	0.33	3	3	0.63	0.65	3.2	3.2	27	26	17	17
OG0003981	462.0	0.0	3	3	0.6	0.6	3.19	3.19	27	27	16.33	16.33
OG0003982	924.0	0.0	3	3	0.53	0.53	3.56	3.56	38	38	20	20
OG0003983	165.0	0.0	3	3	0.47	0.47	3.92	3.92	54	54	25.33	25.33
OG0003984	603.0	0.0	3	3	0.62	0.62	3.33	3.33	30	30	18.67	18.67
OG0003985	633.0	0.0	3	3	0.61	0.61	3.32	3.32	30	30	18.33	18.33
OG0003986	624.0	0.0	3	3	0.62	0.62	3.29	3.29	29	29	18	18
OG0003987	606.0	0.0	3	3	0.62	0.62	3.29	3.29	29	29	18	18
OG0003988	810.0	0.0	3	3	0.59	0.59	3.38	3.38	32	32	19	19
OG0003989	705.0	0.0	3	3	0.42	0.42	3.44	3.44	33	33	14	14
OG0003990	588.0	0.0	3	3	0.34	0.34	3.96	3.96	53	53	18	18
OG0003991	951.0	0.0	3	3	0.95	0.95	2.93	2.93	19	19	18	18
OG0003992	213.0	0.0	1	3	0.37	0.37	4.54	4.54	97	97	35.67	35.67
OG0003993	633.0	0.0	2	3	0.67	0.67	3.65	3.65	42	42	28.33	28.33
OG0003994	264.0	0.0	3	3	0.54	0.54	3.35	3.35	32	32	17.33	17.33
OG0003995	405.0	0.0	3	3	0.55	0.55	3.32	3.32	31	31	17	17
OG0003996	321.0	0.0	3	3	0.89	0.89	2.9	2.9	19	19	17	17
OG0003997	522.0	0.0	3	3	0.89	0.89	2.9	2.9	19	19	17	17
OG0003998	411.0	0.0	3	3	0.84	0.84	3.07	3.07	23	23	19.33	19.33
OG0003999	483.0	0.0	3	3	0.83	0.83	3.11	3.11	24	24	20	20
OG0004000	342.0	0.0	3	3	0.78	0.78	3.18	3.18	26	26	20.33	20.33
OG0004001	372.0	0.0	3	3	0.71	0.71	3.33	3.33	31	31	22	22
OG0004002	288.0	0.0	3	3	0.71	0.71	3.29	3.29	30	30	21.33	21.33
OG0004003	1674.0	0.0	3	3	0.54	0.54	3.9	3.9	57	57	31	31
OG0004004	1710.0	0.0	3	3	0.5	0.5	4.14	4.14	72	72	36.33	36.33
OG0004005	462.0	0.0	3	3	0.45	0.45	4.3	4.3	81	81	36.67	36.67
OG0004006	972.0	0.33	3	3	0.42	0.66	4.49	4.06	97	61	40.33	40.33
OG0004007	153.0	0.0	3	3	0.5	0.5	3.63	3.63	43	43	21.67	21.67
OG0004008	384.0	0.33	2	3	0.54	0.58	4.2	4.2	74	70	40.33	40.33
OG0004009	969.0	0.67	3	3	0.43	0.83	3.69	3.14	44	23	19	19
OG0004010	642.0	0.33	3	3	0.34	0.36	3.84	3.81	47	45	16	16
OG0004011	180.0	0.0	3	3	0.34	0.34	4.23	4.23	69	69	23.33	23.33
OG0004012	618.0	1.0	1	3	0.46	NA	3.21	NA	28	0	13	13
OG0004013	105.0	0.33	2	3	0.42	0.5	3.68	3.53	42	35	17.67	17.67
OG0004014	183.0	1.0	1	3	0.97	NA	2.39	NA	11	0	10.67	10.67
OG0004015	447.0	0.0	3	3	0.59	0.59	3.5	3.5	37	37	22	22
OG0004016	1275.0	0.0	3	3	0.55	0.55	3.63	3.63	42	42	23	23
OG0004017	249.0	0.0	3	3	0.55	0.55	3.61	3.61	41	41	22.67	22.67
OG0004018	858.0	0.0	3	3	0.62	0.62	3.57	3.57	40	40	24.67	24.67
OG0004019	837.0	0.0	3	3	0.63	0.63	3.51	3.51	38	38	24	24
OG0004020	111.0	0.33	2	3	0.34	0.42	4.19	4.01	67	55	23	23
OG0004021	282.0	0.0	3	3	0.48	0.48	3.68	3.68	44	44	21.33	21.33
OG0004022	489.0	0.0	3	3	0.38	0.38	4.12	4.12	64	64	24.33	24.33
OG0004023	243.0	0.0	2	3	0.35	0.35	3.97	3.97	54	54	18.67	18.67
OG0004024	198.0	0.0	3	3	0.36	0.36	3.98	3.98	55	55	20	20
OG0004025	750.0	0.0	3	3	0.37	0.37	4.04	4.04	59	59	22	22
OG0004026	564.0	0.0	3	3	0.4	0.4	4.07	4.07	62	62	25	25
OG0004027	1023.0	0.0	3	3	0.41	0.41	4.1	4.1	64	64	26.33	26.33
OG0004028	1233.0	0.0	3	3	0.61	0.61	3.46	3.46	35	35	21.33	21.33
OG0004029	402.0	0.33	3	3	0.39	0.5	3.76	3.56	45	35	17.33	17.33
OG0004030	1461.0	0.67	3	3	0.6	0.75	3.15	3.04	26	21	15.67	15.67
OG0004031	282.0	0.0	3	3	0.42	0.42	3.8	3.8	47	47	19.67	19.67
OG0004032	384.0	0.0	1	3	0.52	0.52	3.79	3.79	47	47	24.33	24.33
OG0004033	243.0	0.33	3	3	0.36	0.56	4.33	3.91	78	50	28	28
OG0004034	216.0	0.0	3	3	0.46	0.46	4.27	4.27	79	79	36	36
OG0004035	411.0	0.0	3	3	0.34	0.34	4.1	4.1	61	61	21	21
OG0004036	282.0	0.0	3	3	0.43	0.43	4.43	4.43	90	90	38.33	38.33
OG0004037	465.0	0.0	3	3	0.42	0.42	4.42	4.42	89	89	37	37
OG0004038	627.0	0.0	2	3	0.62	0.62	4.0	4.0	61	61	38	38
OG0004039	315.0	0.0	3	3	0.37	0.37	3.99	3.99	57	57	21	21
OG0004040	735.0	0.0	3	3	0.51	0.51	3.56	3.56	38	38	19.33	19.33
OG0004041	225.0	0.0	3	3	0.46	0.46	3.65	3.65	41	41	19	19
OG0004042	516.0	0.0	3	3	0.43	0.43	3.5	3.5	35	35	15	15
OG0004043	144.0	0.0	2	3	0.54	0.54	4.23	4.23	77	77	41.33	41.33
OG0004044	105.0	0.0	1	3	0.33	0.33	4.14	4.14	63	63	21	21
OG0004045	318.0	0.0	2	3	0.42	0.42	3.12	3.12	24	24	10	10
OG0004046	1146.0	0.0	3	3	0.39	0.39	3.91	3.91	54	54	21	21
OG0004047	531.0	0.0	3	3	0.46	0.46	3.65	3.65	41	41	18.67	18.67
OG0004048	258.0	0.0	3	3	0.33	0.33	3.93	3.93	51	51	17	17
